Time1,Time2
0.0000026,0.000003
0.000003,0.00000333
0.0000036,0.0000036
0.000003,0.0000023
0.0000046,0.000003
0.0000036,0.0000036
0.000005,0.0000026
0.000005,0.0000033
0.000007,0.0000036
0.0000086,0.000003
0.000011,0.000006
